n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.03	NONANE	dG (kJ/Mol)					4112.09596807557	8590.28330028471	323.149262650808
0.03	OCTANE	dG (kJ/Mol)					917.486118502624	1906.65511685927	323.150849088033
0.03	HEPTANE	dG (kJ/Mol)					202.493402391573	419.456325771574	323.151790841421
0.03	HEXANE	dG (kJ/Mol)					57.3558296630703	84.7571039952327	323.152623558044
0.03	DICHLOROMETHANE	dG (kJ/Mol)	5.06403531991284	6.03348262059001	5.50666225984322	6.50152802166348	6.33764359093626	11.0574334566603	323.151472791036
0.03	ETHYL ACETATE	dG (kJ/Mol)	7.73173345444771	8.74642162709477	6.00682937518938	6.89034928115287	46.39525619752	88.5553121622846	323.152937104967
0.04	NONANE	dG (kJ/Mol)					2855.24797995492	7287.22801340904	323.149262650808
0.04	OCTANE	dG (kJ/Mol)					664.747857036615	1630.06141739961	323.150849088033
0.04	HEPTANE	dG (kJ/Mol)					157.327529044466	363.717410046012	323.151790841421
0.04	HEXANE	dG (kJ/Mol)					52.8645972568455	79.9617673974678	323.152623558044
0.04	DICHLOROMETHANE	dG (kJ/Mol)	4.67149508166093	5.71147132686204	5.086785568157	6.17040191046136	6.30437418655149	9.93898638311296	323.151472791036
0.04	ETHYL ACETATE	dG (kJ/Mol)	7.18742790671728	8.48908289504834	5.57414452773351	6.67409163608641	40.9083987259582	79.6621065859887	323.152937104967
0.05	NONANE	dG (kJ/Mol)					1913.72898639683	6231.18861382408	323.149262650808
0.05	OCTANE	dG (kJ/Mol)					462.182126194459	1390.54425979392	323.150849088033
0.05	HEPTANE	dG (kJ/Mol)					127.51569726252	323.041418622032	323.151790841421
0.05	HEXANE	dG (kJ/Mol)					48.7891533011203	76.2356060024298	323.152623558044
0.05	DICHLOROMETHANE	dG (kJ/Mol)	4.07629174327725	5.43447962140828	4.45218580944127	5.8809668426328	6.25335209617451	9.30285730229712	323.151472791036
0.05	ETHYL ACETATE	dG (kJ/Mol)	6.71847298094301	8.24653645976993	5.23494796546598	6.47477434569536	39.3699515968559	73.6255205871015	323.152937104967
0.06	NONANE	dG (kJ/Mol)					1304.78935657104	4861.24790438112	323.149262650808
0.06	OCTANE	dG (kJ/Mol)					363.280412575978	1226.4390715494	323.150849088033
0.06	HEPTANE	dG (kJ/Mol)					122.179678095708	286.887708859926	323.151790841421
0.06	HEXANE	dG (kJ/Mol)					44.0353508866112	71.0805195977396	323.152623558044
0.06	DICHLOROMETHANE	dG (kJ/Mol)	3.60378086936736	5.37605518223691	3.94070140062258	5.8117253058865	6.74928810166678	10.0070506180322	323.151472791036
0.06	ETHYL ACETATE	dG (kJ/Mol)	6.14435058472518	7.91414123172336	4.78014927199641	6.21258667066286	38.0750056929082	68.8475079780321	323.152937104967
0.07	NONANE	dG (kJ/Mol)					1006.73606795083	4166.61093025204	323.149262650808
0.07	OCTANE	dG (kJ/Mol)					312.867877725833	1184.59560901316	323.150849088033
0.07	HEPTANE	dG (kJ/Mol)					97.6441990825666	269.680685955857	323.151790841421
0.07	HEXANE	dG (kJ/Mol)					40.52674961999	68.9699661776875	323.152623558044
0.07	DICHLOROMETHANE	dG (kJ/Mol)	4.09006343328352	5.13197777525421	4.42505542071142	5.56446926214155	8.26159281522636	9.9104488955267	323.151472791036
0.07	ETHYL ACETATE	dG (kJ/Mol)	6.02661995260392	7.58007141465134	4.72732981238953	5.92637185795946	36.0364305680911	64.3410114654965	323.152937104967
