"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
50,23.94911,50,49.99871,32,32.001,32,31.99606,180,180.0051,52.28259,54.8889,229.0583,27.82907,2,2.01,10,10.03,10,10.005,0,0,0,0,0,0,0,0
51,20.40109,50,50.00141,32,31.99821,32,31.99494,180,180.0018,52.27795,54.89056,228.6789,27.83612,2,2,10,10,10,10,0,0,0,0,0,0,0,0
52,24.00633,50,50.00351,32,32.00127,32,31.99904,180,179.9736,52.25903,54.89964,229.0506,27.9218,2,2,10,10.01,10,9.995,0,0,0,0,0,0,0,0
53,20.40109,50,50.0017,32,32.00058,32,32.00214,180,179.976,52.25559,54.89568,228.6713,27.92688,2,1.955,10,9.965,10,10.01,0,0,0,0,0,0,0,0
54,24.06356,50,50.00607,32,31.99988,32,31.99885,180,180.0176,52.25754,54.90104,229.158,28.14749,2,2.005,10,10.005,10,10.01,0,0,0,0,0,0,0,0
55,20.40109,50,49.99778,32,31.99835,32,31.999,180,180.0154,52.24434,54.86501,228.7565,28.13621,2,2,10,9.985,10,10.005,0,0,0,0,0,0,0,0
56,24.3783,50,49.99749,32,32.00912,32,32.00782,180,180.0007,52.36258,54.92117,229.159,28.34195,2,1.955,10,10,10,10,0,0,0,0,0,0,0,0
57,20.31525,50,50.00092,32,32.00815,32,32.01243,180,180.0017,52.35251,54.91296,228.7681,28.33443,2,2.01,10,10.005,10,9.995,0,0,0,0,0,0,0,0
58,23.97772,50,50.0018,32,32.00113,32,31.99506,180,180.0598,52.4704,54.95586,229.0563,28.17134,2,1.995,10,10.005,10,10,0,0,0,0,0,0,0,0
59,19.62854,50,50.00433,32,31.99881,32,31.99742,180,179.9926,52.39801,54.95053,229.3538,28.06944,2,1.995,10,10,10,9.995,0,0,0,0,0,0,0,0
60,24.06356,50,49.99817,32,32.001,32,32.00303,180,179.9817,52.4218,54.96355,229.0856,28.05159,2,1.995,10,9.985,10,9.99,0,0,0,0,0,0,0,0
61,20.28664,50,50.00557,32,32.00169,32,32.00055,180,179.9764,52.40897,54.94342,229.0899,28.04081,2,2.01,10,10.005,10,10.005,0,0,0,0,0,0,0,0
62,24.26385,50,50.00002,32,32.00504,32,32.00086,180,180.0278,52.43097,54.96804,229.1072,28.01642,2,2,10,10.005,10,9.995,0,0,0,0,0,0,0,0
63,20.34386,50,49.99689,32,32.00146,32,31.99846,180,180.0382,52.4227,54.95239,229.1404,28.06788,2,1.955,10,9.975,10,9.985,0,0,0,0,0,0,0,0
64,24.34969,50,50.0002,32,31.99867,32,32.00295,180,180.076,52.36327,55.01026,229.1312,28.23848,2,2.015,10,9.98,10,10,0,0,0,0,0,0,0,0
65,19.94328,50,50.00113,32,32.001,32,32.00187,180,180.0924,52.34915,54.96136,229.1543,28.36547,2,1.955,10,9.975,10,10,0,0,0,0,0,0,0,0
66,24.57859,50,50.00024,32,32.00035,32,31.99877,180,180.018,52.45948,55.0253,229.0544,28.01106,2,2.025,10,10.01,10,9.995,0,0,0,0,0,0,0,0
67,19.9719,50,50.00031,32,32.00085,32,31.99846,180,180.0213,52.4584,55.05445,228.6588,28.01777,2,1.99,10,10.005,10,10,0,0,0,0,0,0,0,0
68,24.03495,50,50.00241,32,31.99974,32,32.00272,180,180.0002,52.4554,55.03824,229.0873,27.95774,2,2.015,10,10.03,10,10.005,0,0,0,0,0,0,0,0
69,20.28664,50,50.00828,32,32.0016,32,31.99815,180,179.9998,52.4463,55.03312,228.6743,27.91144,2,2,10,9.995,10,9.995,0,0,0,0,0,0,0,0
70,24.06356,50,50.00365,32,32.00559,32,32.00682,180,180.1078,52.41647,55.06075,229.0978,28.35063,2,2.02,10,10.005,10,9.995,0,0,0,0,0,0,0,0
71,20.34386,50,50.00087,32,32.00689,32,32.0076,180,180.11,52.41652,55.06467,228.7014,28.34939,2,2.02,10,10.035,10,10.015,0,0,0,0,0,0,0,0
72,24.12079,50,49.99743,32,31.99886,32,32.00113,180,180.0365,52.49698,55.11833,229.1646,28.26334,2,1.995,10,9.985,10,9.97,0,0,0,0,0,0,0,0
73,20.63,50,49.99888,32,32.00155,32,32.00144,180,180.0416,52.49216,55.10838,228.7657,28.26851,2,1.95,10,9.97,10,10.025,0,0,0,0,0,0,0,0
74,24.40692,50,50.00376,32,31.99997,32,31.99215,180,180.0086,52.54518,55.16174,229.1156,28.34893,2,1.995,10,9.99,10,10,0,0,0,0,0,0,0,0
75,20.40109,50,49.99921,32,32.00179,32,31.9872,180,180.0081,52.5391,55.16075,228.7309,28.34186,2,1.99,10,9.98,10,9.99,0,0,0,0,0,0,0,0
76,24.52137,50,50.00622,32,32.00267,32,31.99591,180,180.012,52.54318,55.18682,229.062,28.40342,2,2,10,10,10,10,0,0,0,0,0,0,0,0
77,20.34386,50,50.00412,32,31.99747,32,31.99254,180,180.013,52.54127,55.18547,228.6902,28.41154,2,1.975,10,10.025,10,9.98,0,0,0,0,0,0,0,0
78,24.23524,50,50.00376,32,32.00048,32,31.99432,180,180.0208,52.56296,55.23129,229.0212,28.38509,2,1.955,10,10,10,10.025,0,0,0,0,0,0,0,0
79,20.37248,50,50.00145,32,31.99956,32,31.99312,180,180.0178,52.56652,55.22227,228.6742,28.38299,2,2.005,10,9.995,10,10,0,0,0,0,0,0,0,0
80,24.32108,50,50.00095,32,31.99812,32,32.01057,180,180.1003,52.5646,55.20329,229.0645,28.35868,2,1.965,10,9.99,10,9.99,0,0,0,0,0,0,0,0
81,20.80167,50,50.00102,32,32.00021,32,32.00972,180,180.1042,52.57887,55.25515,228.6645,28.35317,2,2.015,10,10.025,10,10.01,0,0,0,0,0,0,0,0
82,24.43553,50,50.0049,32,31.99858,32,32.00465,180,179.9808,52.55333,55.22209,229.0995,28.39414,2,2.015,10,10.015,10,10,0,0,0,0,0,0,0,0
83,20.4297,50,50.00266,32,31.9977,32,31.99947,180,179.983,52.56923,55.25586,228.7376,28.42382,2,2,10,10.005,10,10.005,0,0,0,0,0,0,0,0
84,24.57859,50,50.00251,32,32.00295,32,31.99703,180,180.064,52.56703,55.249,229.106,28.37949,2,2.005,10,9.995,10,9.995,0,0,0,0,0,0,0,0
85,20.80167,50,50.01188,32,32.00216,32,31.99885,180,180.0688,52.57351,55.28803,228.6921,28.40824,2,1.995,10,9.985,10,9.97,0,0,0,0,0,0,0,0
86,24.49276,50,50.00326,32,31.99956,32,31.99711,180,180.0219,52.61818,55.28074,229.0148,28.35368,2,1.995,10,9.965,10,9.99,0,0,0,0,0,0,0,0
87,20.71583,50,50.01444,32,32.00007,32,31.99614,180,180.0206,52.62246,55.30793,228.65,28.35201,2,2,10,10,10,9.99,0,0,0,0,0,0,0,0
