n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.01	ETHYL ACETATE	dG (kJ/Mol)	8.69024855056175	11.093553609319	7.18923547563832	9.49296626477538	6.7881818722996	14.5608331481268	323.150036606422
0.015	NONANE	dG (kJ/Mol)					130.235646134751	169.928651831995	323.148866227957
0.015	OCTANE	dG (kJ/Mol)					42.9367918083136	54.8050778637508	323.150260939965
0.015	HEPTANE	dG (kJ/Mol)					13.1914825416014	16.3261257586456	323.150050506592
0.015	HEXANE	dG (kJ/Mol)					3.2076995877328	3.3119047691849	323.149344458947
0.015	DICHLOROMETHANE	dG (kJ/Mol)	5.02521700505571	7.58628151939912	5.3991005579995	7.98009183715561	0.721411481235565	1.64701979229846	323.151049408546
0.015	ETHYL ACETATE	dG (kJ/Mol)	8.29658533600853	10.5197929888602	6.81187042740725	8.94451251208546	5.73976185875927	12.1632689539799	323.150036606422
0.02	NONANE	dG (kJ/Mol)					119.520940979244	160.390930594347	323.148866227957
0.02	OCTANE	dG (kJ/Mol)					39.7991586746088	51.9627920478604	323.150260939965
0.02	HEPTANE	dG (kJ/Mol)					12.4601789366886	15.8524984912114	323.150050506592
0.02	HEXANE	dG (kJ/Mol)					3.33998102562621	3.39489843164065	323.149344458947
0.02	DICHLOROMETHANE	dG (kJ/Mol)	4.26100940847934	7.26417914006723	4.6238545516559	7.6494540736944	0.616330712670347	1.59497065442148	323.151049408546
0.02	ETHYL ACETATE	dG (kJ/Mol)	7.70366929616931	9.96690507809301	6.26788823055018	8.42416879322481	5.08333099485824	10.6070865452856	323.150036606422
0.025	NONANE	dG (kJ/Mol)					111.170193054657	152.073924384612	323.148866227957
0.025	OCTANE	dG (kJ/Mol)					37.1552336540409	49.592485176374	323.150260939965
0.025	HEPTANE	dG (kJ/Mol)					11.8298438440851	15.3957005847452	323.150050506592
0.025	HEXANE	dG (kJ/Mol)					3.33568518051538	3.52349333735984	323.149344458947
0.025	DICHLOROMETHANE	dG (kJ/Mol)	4.02828114036319	7.089780799968	4.38417303278619	7.46669884603046	0.594493186251866	1.65434201711343	323.151049408546
0.025	ETHYL ACETATE	dG (kJ/Mol)	7.41179448323128	9.47271122481027	6.00387309310446	7.96521611871291	4.72010292984356	9.57255379774505	323.150036606422
0.03	NONANE	dG (kJ/Mol)					103.915971641708	145.376859247103	323.148866227957
0.03	OCTANE	dG (kJ/Mol)					35.0414629175693	47.6027429583444	323.150260939965
0.03	HEPTANE	dG (kJ/Mol)					11.2668916042119	14.9130527242202	323.150050506592
0.03	HEXANE	dG (kJ/Mol)					3.28167148189195	3.58852911099	323.149344458947
0.03	DICHLOROMETHANE	dG (kJ/Mol)	3.96827511532333	6.77350261785841	4.31956916655511	7.1449022894081	0.594678485977364	1.56316356004775	323.151049408546
0.03	ETHYL ACETATE	dG (kJ/Mol)	7.26703832980228	9.14344473166676	5.87915350839499	7.66045491791551	4.52310396686499	8.87703100919139	323.150036606422
0.035	NONANE	dG (kJ/Mol)					97.7285531369201	139.545437232774	323.148866227957
0.035	OCTANE	dG (kJ/Mol)					33.093411845195	45.6849991035987	323.150260939965
