ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
72	injection69	HEPTANE	3252	3	0.08	0.0983170834283965	323.14986076355	114.208896636963	10.0025000572205	7557.58360061802	62885.0833346585	0.53315	0.578115297395452	1.08433892412164	58.5855202068128	63.5265599501619	0.0720499999999999	7.91725917828164	0.102772887914626	11.2932628746784	3.30689044465518	0.000392859198406072	0.000560378547730979	0.00233361131148588	0.000233361131148588	0.00161066422612834	0.00218657553843335
73	injection70	HEPTANE	3424	3	0.085	0.100484392672425	323.149929428101	114.008598327637	10.0100002288818	7724.70951015059	64569.8917240509	0.534817	0.578272655308037	1.08125331713098	58.8202995729622	63.5996440279031	0.0737169999999999	8.10755085126324	0.102930245827211	11.3204851279506	3.39271304210283	0.000402301501055974	0.000561729213076322	0.00238505361623078	0.000238505361623078	0.00164519078590605	0.00223478459856178
74	injection71	HEPTANE	3593	3	0.09	0.111510931874333	323.149380111694	114.223251342773	9.99749994277954	8575.29642338279	73413.4517525995	0.52995	0.574533868753039	1.08412844372684	58.2041559267325	63.1007809832828	0.06885	7.56176268620724	0.0991914592722126	10.8941506973865	3.8608883247651	0.000375219805133538	0.000540575163675103	0.00264677473031218	0.000264677473031218	0.00182085942423493	0.00248786852861558
75	injection72	HEPTANE	3759	3	0.095	0.115564688501839	323.152054214478	114.080150604248	10.0124998092651	8888.12896344642	76470.0497511657	0.531517	0.574981424621387	1.08177428872715	58.4696693912639	63.250985017846	0.070417	7.74624087192814	0.0996390151405608	10.9608164437633	4.01511842957896	0.000384370557405207	0.000543878662665028	0.00274299292546287	0.000274299292546287	0.00188014093559089	0.00257175099176443
76	injection73	HEPTANE	3921	2	0.1	0.119618419748194	323.150234603882	114.266147613525	10.0100002288818	9201.02544532155	79861.4272161901	0.529817	0.572780791318436	1.08109175681119	58.2608639962506	62.9853398110446	0.0687169999999999	7.55640493081639	0.0974383818376101	10.7147266174089	4.19372077545709	0.000374952958194219	0.000531670612973061	0.00283921051817763	0.000283921051817763	0.00194710841351833	0.00266670861047588
77	injection74	HEPTANE	4544	2	0.12	0.147484909095623	323.150770568848	114.151699066162	9.99250030517578	11353.6568652621	102444.830641086	0.526483	0.568537261714619	1.0798777201061	57.7973488699463	62.4140693258544	0.065383	7.17775134460884	0.0931948522337929	10.2309388668573	5.38471101913798	0.000356163368793743	0.000507663957386825	0.00350063732707928	0.000350063732707928	0.00237129551090819	0.00327133143079202
78	injection75	HEPTANE	5124	2	0.14	0.17506895197248	323.148870849609	114.022899627686	9.99499988555908	13487.1211588191	125385.888012456	0.524817	0.564478253978843	1.0755715877703	57.6332673068245	61.988704825591	0.0637169999999999	6.99714165697553	0.0891358444980171	9.78853572306873	6.58400939302602	0.000347203472991659	0.00048571456248342	0.00415536011003111	0.000415536011003111	0.00278769607147537	0.00385384811575213
79	injection76	HEPTANE	5667	2	0.16	0.194659134850707	323.15128364563	114.251850128174	10.0175004005432	15003.7093533343	141728.148781108	0.523183	0.561805936150814	1.07382299530148	57.575180782396	61.8255530827767	0.0620829999999999	6.83210262664017	0.0864635266699884	9.51512793632075	7.42177176140195	0.000339011579968369	0.000472144335583494	0.00462034412668983	0.000462034412668983	0.00307170721561654	0.00424939287254583
80	injection77	HEPTANE	6177	2	0.18	0.22743781072716	323.150860214233	114.108749389648	10.0075001716614	17543.4993115855	169273.620691284	0.519833	0.557825394158083	1.07308576823342	57.1545587242346	61.3317435566374	0.0587329999999999	6.45757136917139	0.0824829846772567	9.06883285879583	8.86634899257806	0.00032042761369375	0.000449999590527839	0.00539836444760922	0.000539836444760922	0.00353458965059862	0.00489945203506092
81	injection78	HEPTANE	6658	2	0.2	0.243713150769057	323.148331069946	114.008651733398	10	18805.4261131939	183016.052164408	0.519833	0.557199896781198	1.07188250222898	57.1149267401656	61.2204905888736	0.0587329999999999	6.45309357472523	0.0818574873003716	8.99381991965642	9.59002349028734	0.000320207929618323	0.000446280907364006	0.00578466880383752	0.000578466880383752	0.00376631596322769	0.00522241414653481
82	injection79	HEXANE	90	2	0.005	0.00800101065655992	323.152229690552	113.6223487854	10	605.720036493435	5110.82895427868	0.493167	0.506876964715224	1.02779984207221	54.1991082511279	55.7058349009637	0.032067	3.52416687306514	0.031534555234398	3.46565113399783	0.303701090028293	0.000174870014014055	0.000171966448865381	0.000211296243588839	2.11296243588839E-05	5.31082138693315E-05	5.2226397968711E-05
83	injection80	HEXANE	134	2	0.0075	0.0104104290236588	323.150659942627	115.03870010376	9.99499988555908	788.01563460376	6722.65037631057	0.491517	0.505425159345179	1.02829639533359	53.9417076867148	55.4680635723869	0.0304169999999999	3.33812446508829	0.0300827498643532	3.30144206527038	0.399736329755439	0.000165639349270769	0.000163819150863228	0.000274925836405907	2.74925836405907E-05	6.90154284847984E-05	6.79588093937587E-05
84	injection81	HEXANE	178	2	0.01	0.0135599169210012	323.152180099487	115.281898498535	9.99499988555908	1026.22776067295	8878.03556716132	0.489833	0.505399049356024	1.0317782782214	53.7488063239311	55.4568508453612	0.028733	3.15283872688347	0.0300566398751981	3.29808019345403	0.527994565224828	0.000156444645449787	0.000163651563313518	0.000358099699121782	3.58099699121782E-05	8.90807426588222E-05	8.89484701361575E-05
85	injection82	HEXANE	265	2	0.015	0.0185092505527449	323.15431060791	115.253299713135	10.022500038147	1400.39618006796	12487.7794994845	0.491467	0.5057476375103	1.02905716459152	54.0778240509903	55.6491722851911	0.0303669999999999	3.34138667083735	0.0304052280294734	3.34559303393331	0.740848092655118	0.000165799348444859	0.000166008067856689	0.000488805137415123	4.88805137415123E-05	0.000124371718820954	0.000124283872961341
86	injection83	HEXANE	350	2	0.02	0.0233001682912949	323.152569198608	115.15315246582	9.99749994277954	1762.38493726052	16133.5975046983	0.4915	0.507265472855219	1.0320762418214	53.949711853442	55.6802158570479	0.0303999999999999	3.33686925807657	0.0319230633743931	3.50404897360666	0.959798768664332	0.00016557608702673	0.000173871576297314	0.000615327018831287	6.15327018831287E-05	0.000160624715006417	0.000162353172130425
87	injection84	HEXANE	433	2	0.025	0.0284113234986974	323.15164604187	115.253299713135	9.98749971389771	2148.35020383064	20256.0456071841	0.4915	0.507832788458039	1.0332304953368	53.8921488782844	55.6830116802745	0.0303999999999999	3.33330890315329	0.0324903789772127	3.56251544445947	1.20660846881788	0.000165399894039859	0.000176773198689009	0.00075030595362851	7.5030595362851E-05	0.000201447013259823	0.000205982512294043
88	injection85	HEXANE	514	2	0.03	0.0341136130752395	323.151035690308	115.095897674561	9.97249984741211	2578.68796061852	25119.6005266101	0.48985	0.508731204003512	1.03854486884457	53.6358486056503	55.7032353555222	0.0287499999999999	3.14796498400009	0.0333887945226857	3.65588716575266	1.49906240299295	0.000156203362287722	0.000181406677119214	0.000900895975201756	9.00895975201756E-05	0.000247129301092242	0.000259035608703184
89	injection86	HEXANE	594	2	0.035	0.0415474964444231	323.147980117798	115.238952636719	9.99249982833862	3139.28473165939	31638.6243393016	0.491483	0.509271789487197	1.0361941094345	53.9171463616036	55.8686294574115	0.0303829999999999	3.333105433768	0.0339293800063708	3.72215386445098	1.8851229866995	0.000165391674071568	0.000184696605320872	0.0010972151276951	0.00010972151276951	0.000310980507324515	0.000330339687961979
90	injection87	HEXANE	672	2	0.04	0.0465294503987076	323.148365402222	115.196098327637	10.0099997520447	3514.71420754399	36170.4428673362	0.489833	0.508676816847268	1.03846988023932	53.8317813011217	55.9026834808453	0.028733	3.15770593676851	0.0333344073664419	3.66339247693153	2.15198757966831	0.00015668800726703	0.000181780595958486	0.00122878202611059	0.000122878202611059	0.000352794988606925	0.000378850492712068
91	injection88	HEXANE	748	2	0.045	0.051827351443054	323.149185562134	115.053001403809	10.0025000572205	3913.7207831338	41072.0719053732	0.48985	0.508266638864397	1.03759648640277	53.7983658373907	55.8209953670873	0.0287499999999999	3.15750335373069	0.0329242293835706	3.61594311991732	2.44618512635242	0.000156677557275229	0.000179425663825641	0.00136869267460572	0.000136869267460572	0.000398889141577755	0.000431637082821738
92	injection89	HEXANE	823	2	0.05	0.0569434114961215	323.147550964355	115.210350036621	10.0025000572205	4298.80616536338	45804.0945280138	0.488283	0.508365363530238	1.04112853310526	53.6206119529668	55.8259490667989	0.027183	2.98509080741597	0.0330229540494119	3.62640314044144	2.72881098131315	0.000148123073623398	0.000179945607693159	0.00150380113997213	0.000150380113997213	0.00044075255189998	0.000482494364042446
93	injection90	HEXANE	897	2	0.055	0.0623666494948669	323.15114440918	115.124500274658	9.99249982833862	4706.77139653787	51004.5469722097	0.489833	0.508236057990903	1.0375700656977	53.740587927659	55.7596253467343	0.028733	3.15235664588834	0.0328936485100767	3.60882996861642	3.04260901555609	0.00015642122579436	0.000179071618723942	0.00164702177376589	0.000164702177376589	0.000489837225068121	0.00053868668598672
94	injection91	HEXANE	969	2	0.06	0.0705717408528903	323.149025344849	115.03870010376	9.99499988555908	5323.53278379342	58537.5427545645	0.488167	0.507846911212657	1.04031389096899	53.5737897527722	55.7335576716608	0.027067	2.9704625000016	0.0325045017318309	3.56720003973995	3.49272736950815	0.000147396530450469	0.000177007085354607	0.00186370752218845	0.000186370752218845	0.000556183108732731	0.000618360823884388
95	injection92	HEXANE	1040	2	0.065	0.0769674881346559	323.145380401611	114.995750427246	9.99249982833862	5803.89891449991	64608.3806990908	0.488167	0.508318399655334	1.04127972528937	53.5612533688667	55.7722471940877	0.027067	2.96976740528367	0.0329759901745081	3.61809660387959	3.85730762345488	0.000147363701521646	0.00017953463529231	0.00203261085622821	0.000203261085622821	0.000609909004456022	0.000683815606811491
96	injection93	HEXANE	1109	2	0.07	0.0844054394176008	323.147585296631	115.167449951172	10.0074996948242	6362.11458074351	71839.6151205338	0.4865	0.507505491726167	1.04317675586057	53.4529854258947	55.7609119276471	0.0253999999999999	2.79076224011864	0.032163082245341	3.53383919118616	4.28439452136258	0.000138480288711169	0.00017535247697543	0.00222903743701204	0.000222903743701204	0.000669052121383039	0.00075870635224336
97	injection94	HEXANE	1177	2	0.075	0.0904943603088649	323.151424789429	115.067302703857	9.98750019073486	6818.74572247132	77811.8089627966	0.486517	0.506686135407943	1.04145617811493	53.3520700997013	55.5638430205548	0.0254169999999999	2.78726039526697	0.0313437259271165	3.43719266305051	4.65144430619973	0.000138304880548132	0.000170554757456948	0.00238983788673758	0.000238983788673758	0.000719816898030157	0.000821308439270884
