n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.035	ETHYL ACETATE	dG (kJ/Mol)	6.67203779127367	8.44671107001761	5.27791747800533	6.7676379117198	53.3171727834555	111.5623371052	323.148074824993
0.04	NONANE	dG (kJ/Mol)					1469.63617954403	5245.78581824656	323.148880973229
0.04	OCTANE	dG (kJ/Mol)					444.355742963678	1372.0800048535	323.15044969412
0.04	HEPTANE	dG (kJ/Mol)					139.7464554583	327.312855796827	323.149291640061
0.04	HEXANE	dG (kJ/Mol)					51.5592528272554	87.5698077111498	323.14897802793
0.04	DICHLOROMETHANE	dG (kJ/Mol)	4.10733191488697	5.22729702973839	4.45083512150747	5.65201835436017	9.72080496040418	12.9393296828366	323.148110198974
0.04	ETHYL ACETATE	dG (kJ/Mol)	6.52465951653796	8.30525383421447	5.17320905391918	6.65553213059126	52.1759876657699	105.708625379709	323.148074824993
0.045	NONANE	dG (kJ/Mol)					1295.89327074058	4590.67567000312	323.148880973229
0.045	OCTANE	dG (kJ/Mol)					403.817473107897	1241.61180242723	323.15044969412
0.045	HEPTANE	dG (kJ/Mol)					132.078132853336	304.682281507132	323.149291640061
0.045	HEXANE	dG (kJ/Mol)					47.0554046219792	83.563872151428	323.14897802793
0.045	DICHLOROMETHANE	dG (kJ/Mol)	4.15869941045059	5.38073681476202	4.49606877124095	5.79682223314433	9.59879580323356	14.2027022591425	323.148110198974
0.045	ETHYL ACETATE	dG (kJ/Mol)	6.50636260278899	8.11489315446701	5.1705893419682	6.50006173521867	49.7125050791053	100.064565115998	323.148074824993
0.05	NONANE	dG (kJ/Mol)					1174.32873514924	4248.60357282471	323.148880973229
0.05	OCTANE	dG (kJ/Mol)					371.915562649528	1135.70073090863	323.15044969412
0.05	HEPTANE	dG (kJ/Mol)					125.265320629716	286.640327538071	323.149291640061
0.05	HEXANE	dG (kJ/Mol)					48.0923276953498	80.662017224033	323.14897802793
0.05	DICHLOROMETHANE	dG (kJ/Mol)	3.88379237249475	5.29375509918348	4.20954337066545	5.70338330418557	9.7221506500963	13.7505730158971	323.148110198974
0.05	ETHYL ACETATE	dG (kJ/Mol)	6.10419418796989	7.88576140898187	4.81577614173366	6.28809369054625	46.7330809203269	90.913707817534	323.148074824993
0.055	NONANE	dG (kJ/Mol)					1053.86001533489	3592.70638571158	323.148880973229
0.055	OCTANE	dG (kJ/Mol)					345.084605556862	1022.44463079334	323.15044969412
0.055	HEPTANE	dG (kJ/Mol)					118.937787890346	270.529472449158	323.149291640061
0.055	HEXANE	dG (kJ/Mol)					48.494599437682	79.3903211829422	323.14897802793
0.055	DICHLOROMETHANE	dG (kJ/Mol)	3.59955484046903	4.93142114553618	3.91506406176591	5.32626265417349	9.70688674530455	13.6824421526214	323.148110198974
0.055	ETHYL ACETATE	dG (kJ/Mol)	5.85646724105743	7.47636236621674	4.61400285319387	5.93982364683934	46.0822528816375	85.8308431778568	323.148074824993
0.06	NONANE	dG (kJ/Mol)					986.915337597487	3212.54970935111	323.148880973229
0.06	OCTANE	dG (kJ/Mol)					332.051461758998	966.107802407832	323.15044969412
0.06	HEPTANE	dG (kJ/Mol)					118.156757656714	262.1713287349	323.149291640061
0.06	HEXANE	dG (kJ/Mol)					46.3263788260146	76.9034492859594	323.14897802793
0.06	DICHLOROMETHANE	dG (kJ/Mol)	3.59355296114486	4.77031469747588	3.90472353237965	5.15784262682282	9.68201291275392	13.6359244856115	323.148110198974
0.06	ETHYL ACETATE	dG (kJ/Mol)	5.56824644210969	7.2690807846161	4.33552396832968	5.76522790067899	41.1220775948874	82.537585405706	323.148074824993
0.065	NONANE	dG (kJ/Mol)					947.067820802151	3237.16205736072	323.148880973229
0.065	OCTANE	dG (kJ/Mol)					320.671343344214	919.295093709391	323.15044969412
0.065	HEPTANE	dG (kJ/Mol)					113.811393153369	247.600091993028	323.149291640061
0.065	HEXANE	dG (kJ/Mol)					43.7315906207037	74.3983611388409	323.14897802793
0.065	DICHLOROMETHANE	dG (kJ/Mol)	3.77280111536608	5.01262961825933	4.08560522680615	5.40259336023783	9.69752286917925	13.6451551017037	323.148110198974
0.065	ETHYL ACETATE	dG (kJ/Mol)	5.73854790684768	7.47561622508822	4.49960361674809	5.95481848023908	41.1995821161614	82.2487262544044	323.148074824993
0.07	NONANE	dG (kJ/Mol)					889.531064705062	2841.26095936759	323.148880973229
0.07	OCTANE	dG (kJ/Mol)					307.427672700659	861.55571121324	323.15044969412
0.07	HEPTANE	dG (kJ/Mol)					111.115199214318	235.902116963794	323.149291640061
0.07	HEXANE	dG (kJ/Mol)					43.1744739824351	71.1026053941556	323.14897802793
0.07	DICHLOROMETHANE	dG (kJ/Mol)	3.67437319608746	4.92256598031492	3.98202016009152	5.30606871960274	9.69885732945141	13.8091110569641	323.148110198974
0.07	ETHYL ACETATE	dG (kJ/Mol)	5.58083706560621	7.3094589092877	4.36211065393862	5.82302713518736	39.8378004634324	79.3853794227033	323.148074824993
0.075	NONANE	dG (kJ/Mol)					855.143163269906	2454.19999267316	323.148880973229
0.075	OCTANE	dG (kJ/Mol)					297.60286530128	782.566393395958	323.15044969412
0.075	HEPTANE	dG (kJ/Mol)					108.576235284736	227.324196153893	323.149291640061
0.075	HEXANE	dG (kJ/Mol)					41.3478058288468	69.7621588998662	323.14897802793
0.075	DICHLOROMETHANE	dG (kJ/Mol)	4.36585166889155	4.73829835120777	4.67290268491966	5.10717433557505	12.1054529344859	14.4624818835608	323.148110198974
0.075	ETHYL ACETATE	dG (kJ/Mol)	5.48830333876812	6.97053879954655	4.26877003388399	5.53640000278798	37.1457546612532	76.1199529647654	323.148074824993
0.08	NONANE	dG (kJ/Mol)					824.459796469069	2111.99524677179	323.148880973229
0.08	OCTANE	dG (kJ/Mol)					290.159539579167	749.814837652972	323.15044969412
0.08	HEPTANE	dG (kJ/Mol)					106.867503797753	216.32486903008	323.149291640061
0.08	HEXANE	dG (kJ/Mol)					43.3032135842575	69.8685486955816	323.14897802793
0.08	DICHLOROMETHANE	dG (kJ/Mol)	2.94401536214049	4.11466117858685	3.24426340797985	4.47581166154552	7.90841783058553	13.1240345836499	323.148110198974
0.08	ETHYL ACETATE	dG (kJ/Mol)	5.24991644400284	6.591630551178	4.06239311994115	5.2166272452455	37.023908751603	73.3085357383387	323.148074824993
0.085	NONANE	dG (kJ/Mol)					813.25092177797	1932.04648083095	323.148880973229
0.085	OCTANE	dG (kJ/Mol)					285.561702263254	707.096089116995	323.15044969412
0.085	HEPTANE	dG (kJ/Mol)					106.735037071158	207.630923117094	323.149291640061
0.085	HEXANE	dG (kJ/Mol)					41.837788406318	66.5086720958274	323.14897802793
0.085	DICHLOROMETHANE	dG (kJ/Mol)	4.19204971415561	4.24452348336423	4.49211970440626	4.6015478590221	12.1218834097945	13.7663044191801	323.148110198974
0.085	ETHYL ACETATE	dG (kJ/Mol)	5.42879593812822	6.58116967159971	4.23416179618799	5.22273853050553	38.2496485545282	72.290034964452	323.148074824993
0.09	NONANE	dG (kJ/Mol)					805.949589723847	1798.43621344495	323.148880973229
0.09	OCTANE	dG (kJ/Mol)					282.607606573512	678.272797890876	323.15044969412
0.09	HEPTANE	dG (kJ/Mol)					106.453192771065	201.384805054233	323.149291640061
