ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
11	injection8	OCTANE	8833	10	0.55	0.442596785660832	303.151224517822	22.7473602294922	10.0025000572205	7181.49483297693	25971.2741963032	0.564817	1.12906926229955	1.99900014039866	617.720122009346	1234.82261062376	0.124125333333333	135.751431084966	0.676022527094798	739.341623779145	1.43698341674847	0.00718044114633045	0.0391067628101524	0.0233317194693622	0.000233317194693622	0.0158280338071522	0.118003783765277
12	injection9	OCTANE	9438	5	0.6	0.460016928709765	303.153359794617	22.8618154525757	9.99749994277954	7476.10695636161	30747.2331776387	0.561467	0.918136684964394	1.63524603398667	613.707739032574	1003.56314627994	0.120775333333333	132.012668154861	0.465089949759643	508.363450592401	1.69936471870637	0.0069826337006641	0.0268892054975231	0.0242500313593299	0.000242500313593299	0.0176601463286276	0.125059008512331
13	injection10	OCTANE	10036	5	0.65	0.516653304591979	303.153359794617	23.2337799072266	9.99749994277954	8439.89899032356	39271.2715746151	0.556467	0.840317052860214	1.5100932361851	608.094480582974	918.27936208984	0.115775333333333	126.516650920277	0.387270317655462	423.200194548646	2.15933077329106	0.00669192921223866	0.0223846088552386	0.027235647334539	0.00027235647334539	0.020738206605941	0.135355168730896
14	injection11	OCTANE	10631	5	0.7	0.542518496287981	303.152539634705	23.3053150177002	10.0025000572205	8883.03373860853	42676.7129687191	0.554817	0.826123904476837	1.48900250799243	606.564590390293	903.176196350548	0.114125333333333	124.769763843734	0.373077169272086	407.873948281132	2.33996464350159	0.00659954780893943	0.021574005903173	0.0285991443508387	0.000285991443508387	0.0219303084683092	0.139252164913131
15	injection12	OCTANE	11229	5	0.75	0.594886246812754	303.150975608826	23.1479454040527	10.0050001144409	9785.82007312379	49762.08026434	0.556567	0.802481956129731	1.44184250257333	608.689438053295	877.634302652718	0.115875333333333	126.727045496598	0.34943522092498	382.159790754491	2.71513726147391	0.00670311046965868	0.0202139905057423	0.0313597375229316	0.000313597375229316	0.0244451319717687	0.146835900650838
16	injection13	OCTANE	11835	5	0.8	0.63518622727309	303.153234863281	23.2051649093628	9.98750019073486	10485.5548125787	55093.0878543673	0.55815	0.791712105404683	1.41845759277019	609.334712616614	864.315449649479	0.117458333333333	128.229758642109	0.338665370199932	369.722415164337	3.00070726550925	0.00678254455143898	0.0195559812252056	0.0334841719273013	0.000334841719273013	0.026382023246693	0.152420502288235
17	injection14	OCTANE	12454	5	0.85	0.661398189093444	303.149904632568	23.0478000640869	9.97249984741211	10942.9489559562	58789.9025478865	0.559817	0.782892899138794	1.39848003747438	610.292825320075	853.482333223963	0.119125333333333	129.866253163437	0.329846163934043	359.586699418374	3.19963904766922	0.00686918023834469	0.0190200748034804	0.034865949110841	0.00034865949110841	0.027748521513485	0.156204199665708
18	injection15	OCTANE	13090	5	0.9	0.71975473062704	303.147415542603	23.1336393356323	10.0025000572205	11967.5054141665	66462.377889522	0.561517	0.763239101585044	1.35924486985264	613.948090302098	834.505792098951	0.120825333333333	132.107278426324	0.310192366380293	339.156269472642	3.58857367069742	0.00698777500133968	0.0179395694892788	0.0379422445119274	0.000379422445119274	0.0304663091494369	0.163181519362309
19	injection16	OCTANE	13748	5	0.95	0.76695037865408	303.148304367065	23.0764093399048	9.99499988555908	12802.2011542472	72487.4448358078	0.5648	0.750974457730558	1.3296289973983	617.09950964587	820.513402305419	0.124108333333333	135.60055177579	0.297927722525807	325.515317777242	3.90154190072574	0.00717252962114248	0.0172179849441418	0.0404301876141294	0.000404301876141294	0.0327110830497916	0.168570201634931
20	methaneInjection3	Methane	3000	3	n/a	0	303.151009941101	22.1894102096558	10.0075001716614	9205.00733655871	99123.0231366576	0.44155	0.453936073950967	1.02805135081184	483.324947876546	496.882865545544	0	0	0	0	0	0	0	0	0	0	0
